iter,compliance,volume,tip_dy,pcg_res,beta,penal,pcg_iters
1,165.50221446021447,0.28644450100577834,-165.50221446021447,8.678818351201368e-09,1.0,3.0,142
2,47.93738021106014,0.299996731509608,-47.93738021106014,7.836043609837365e-09,1.0,3.0,143
3,24.516555447797273,0.30001388894881253,-24.516555447797273,9.970676869851765e-09,1.0,3.0,143
4,14.380347969767067,0.29998848295310326,-14.380347969767067,6.712705613384373e-09,1.0,3.0,148
5,10.213130193062707,0.29998962301296883,-10.213130193062707,8.023117569304909e-09,1.0,3.0,150
6,8.49915305574858,0.2999992448489816,-8.49915305574858,8.413848617205668e-09,1.0,3.0,154
7,7.647284413881081,0.3000016964754066,-7.647284413881081,9.90995166470154e-09,1.0,3.0,151
8,7.311495548241943,0.3000033519389723,-7.311495548241943,9.868288427928025e-09,1.0,3.0,145
9,7.16880321227529,0.29999821675552657,-7.16880321227529,7.485010418766141e-09,1.0,3.0,127
10,7.105274534125809,0.3000016948575501,-7.105274534125809,9.041584584870838e-09,1.0,3.0,126
11,7.0690872029533205,0.30000190185306363,-7.0690872029533205,7.414805486116749e-09,1.0,3.0,126
12,7.044621292777082,0.2999970254476425,-7.044621292777082,9.073629567215522e-09,1.0,3.0,126
13,7.027078533963881,0.29999925404782835,-7.027078533963881,9.191261455748901e-09,1.0,3.0,127
14,7.015078715965709,0.2999998740343447,-7.015078715965709,8.779043540733413e-09,1.0,3.0,129
15,7.00821864991111,0.3000000309925898,-7.00821864991111,9.804615843226135e-09,1.0,3.0,130
16,7.0032901092712025,0.3000010890581742,-7.0032901092712025,8.185914620596708e-09,1.0,3.0,132
17,6.999196159834036,0.2999992657798531,-6.999196159834036,7.586721914791782e-09,1.0,3.0,133
18,6.995538676873887,0.3000013813933307,-6.995538676873887,9.236786405901892e-09,1.0,3.0,132
19,6.992395138132751,0.3000015148057713,-6.992395138132751,7.2877603690529906e-09,1.0,3.0,133
20,6.989635295261978,0.30000026744288383,-6.989635295261978,9.574098678674263e-09,1.0,3.0,132
21,6.832299048631701,0.2994235966385935,-6.832299048631701,8.752403068129187e-09,2.0,3.0,133
22,6.823057729182432,0.29999924502846703,-6.823057729182432,9.615462011081635e-09,2.0,3.0,132
23,6.821679923855794,0.3000011104378578,-6.821679923855794,8.070451723064306e-09,2.0,3.0,133
24,6.820475789196405,0.30000035784723234,-6.820475789196405,7.920227916797832e-09,2.0,3.0,133
25,6.819388775788199,0.30000001685312294,-6.819388775788199,9.98314824485951e-09,2.0,3.0,132
26,7.099320353176791,0.2999998687583043,-7.099320353176791,8.272193114600682e-09,2.0,4.0,134
27,7.097259229385465,0.2999990220706427,-7.097259229385465,7.81996002394289e-09,2.0,4.0,133
28,7.095948885121011,0.2999996326220075,-7.095948885121011,8.55902613196926e-09,2.0,4.0,133
29,7.094827966423738,0.30000046792612206,-7.094827966423738,9.199536994940662e-09,2.0,4.0,133
30,7.093869593741206,0.29999968835792884,-7.093869593741206,9.407589012154428e-09,2.0,4.0,133
31,7.093019297577851,0.3000000611405513,-7.093019297577851,9.193936674531611e-09,2.0,4.0,131
32,7.092279742906105,0.2999997282935199,-7.092279742906105,8.383292546831752e-09,2.0,4.0,133
33,7.091605148076086,0.3000006187929577,-7.091605148076086,8.132970398104371e-09,2.0,4.0,133
34,7.091056742659053,0.30000007879650703,-7.091056742659053,7.406303023474763e-09,2.0,4.0,133
35,7.090581929078954,0.30000015675674513,-7.090581929078954,9.563577682304486e-09,2.0,4.0,132
36,7.090148369449654,0.3000001914361198,-7.090148369449654,9.057092292710659e-09,2.0,4.0,132
37,7.089757484154217,0.29999992014716076,-7.089757484154217,8.742201808883684e-09,2.0,4.0,132
38,7.089403032288331,0.2999995992313227,-7.089403032288331,8.560461690936147e-09,2.0,4.0,132
39,7.089061392223539,0.30000024721442453,-7.089061392223539,8.462656513046283e-09,2.0,4.0,132
40,7.088764161780348,0.29999972684838677,-7.088764161780348,8.430899488107724e-09,2.0,4.0,132
41,6.637527893969969,0.29889817934253043,-6.637527893969969,8.934255236507035e-09,4.0,4.0,136
42,6.624406264297184,0.30000011112063485,-6.624406264297184,9.522971268412515e-09,4.0,4.0,136
43,6.623489984475369,0.2999996496796666,-6.623489984475369,6.790586004616093e-09,4.0,4.0,137
44,6.622672500614063,0.30000063576269975,-6.622672500614063,8.09249330806158e-09,4.0,4.0,136
45,6.621995819849994,0.299999692879798,-6.621995819849994,8.773373022103308e-09,4.0,4.0,137
46,6.6214133262829336,0.30000048374530575,-6.6214133262829336,6.67854974302777e-09,4.0,4.0,138
47,6.621152291803615,0.29999951184236684,-6.621152291803615,6.767787424215029e-09,4.0,4.0,138
48,6.62097191461569,0.3000004341871056,-6.62097191461569,6.810647158936766e-09,4.0,4.0,138
49,6.620823620594341,0.29999976477241724,-6.620823620594341,6.749099773499424e-09,4.0,4.0,138
50,6.6206804289086145,0.29999987463848315,-6.6206804289086145,6.798899528641956e-09,4.0,4.0,138
51,6.620539807372176,0.3000003367104131,-6.620539807372176,6.8398216110770045e-09,4.0,4.0,138
52,6.620409131993234,0.29999986685497015,-6.620409131993234,6.827697935833488e-09,4.0,4.0,138
53,6.6202687461123375,0.30000013845316087,-6.6202687461123375,6.813357507923272e-09,4.0,4.0,138
54,6.62012624168025,0.30000027908945265,-6.62012624168025,7.0876409153039556e-09,4.0,4.0,138
55,6.619985772179389,0.2999997750237828,-6.619985772179389,7.3365748459184484e-09,4.0,4.0,138
56,6.6198361831941925,0.29999959629876705,-6.6198361831941925,7.597425559715383e-09,4.0,4.0,138
57,6.619672442163551,0.3000001584942818,-6.619672442163551,7.533091132036897e-09,4.0,4.0,138
58,6.619508097432831,0.3000001710900761,-6.619508097432831,7.581264231233488e-09,4.0,4.0,138
59,6.619340763625107,0.2999998899882611,-6.619340763625107,7.455141521518546e-09,4.0,4.0,138
60,6.619159463222893,0.3000004304495046,-6.619159463222893,6.873424679277264e-09,4.0,4.0,138
61,6.244351928149687,0.29887958766876144,-6.244351928149687,8.268925947177893e-09,8.0,4.0,144
62,6.235239222155764,0.29999988901118146,-6.235239222155764,8.646123463672482e-09,8.0,4.0,140
63,6.231815351397182,0.30000029416789753,-6.231815351397182,6.749319154254728e-09,8.0,4.0,140
64,6.226608988475637,0.2999994851566991,-6.226608988475637,6.413990935363977e-09,8.0,4.0,140
65,6.221415016431819,0.29999964902766785,-6.221415016431819,7.19094537535693e-09,8.0,4.0,140
66,6.218701498132035,0.2999994095970408,-6.218701498132035,6.40172813013931e-09,8.0,4.0,140
67,6.217471262663318,0.29999982324267455,-6.217471262663318,6.9476321594432425e-09,8.0,4.0,140
68,6.216021773791798,0.3000003870946234,-6.216021773791798,9.519781807012063e-09,8.0,4.0,139
69,6.214737624328675,0.2999995576751698,-6.214737624328675,6.747629453035277e-09,8.0,4.0,140
70,6.2132902249001365,0.3000005105911193,-6.2132902249001365,8.11450891083611e-09,8.0,4.0,139
71,6.212099781797153,0.3000003628427649,-6.212099781797153,9.657861710244427e-09,8.0,4.0,139
