iter,compliance,volume,tip_dy,pcg_res,beta,penal,pcg_iters
1,924.6602121367587,0.27724589293250973,-924.6602121367587,9.057560340356171e-09,1.0,3.0,377
2,424.0754580296029,0.30000635710934465,-424.0754580296029,9.770821077437073e-09,1.0,3.0,435
3,261.02304354185713,0.30001841624728737,-261.0230435418572,8.844444371491964e-09,1.0,3.0,495
4,205.70552776244557,0.3000064995779777,-205.70552776244554,9.548596191852964e-09,1.0,3.0,495
5,163.2861949971938,0.3000163142647117,-163.2861949971938,9.189707822400069e-09,1.0,3.0,562
6,135.82011262002672,0.29998168614948584,-135.82011262002672,9.0587185772007e-09,1.0,3.0,559
7,114.89602787722762,0.3000063905489644,-114.89602787722762,8.660063062206872e-09,1.0,3.0,592
8,99.98121868901707,0.30000248044771505,-99.98121868901707,9.968118369250381e-09,1.0,3.0,580
9,89.83580696946862,0.3000127331750222,-89.83580696946862,9.027294965401682e-09,1.0,3.0,600
10,82.46875143286766,0.300004680659861,-82.46875143286766,9.651321807323941e-09,1.0,3.0,596
11,77.69490664255588,0.29999741243271305,-77.69490664255588,8.810007888691554e-09,1.0,3.0,597
12,74.51887213851204,0.29999693049695675,-74.51887213851204,9.736523802045929e-09,1.0,3.0,588
13,72.44597259605645,0.300001894542248,-72.44597259605646,8.685500128843219e-09,1.0,3.0,599
14,71.1015041166278,0.3000066544951802,-71.1015041166278,8.385831224732512e-09,1.0,3.0,601
15,70.18130010267305,0.2999947617093144,-70.18130010267305,8.265664916957975e-09,1.0,3.0,602
16,69.54265599723338,0.3000003807033603,-69.5426559972334,8.83563530839363e-09,1.0,3.0,603
17,69.06183700043661,0.3000004883522541,-69.06183700043661,9.920052842462563e-09,1.0,3.0,600
18,68.71131727494927,0.2999989537174576,-68.71131727494927,9.44374436543034e-09,1.0,3.0,599
19,68.43633497180485,0.30000113662255384,-68.43633497180484,9.53947155626178e-09,1.0,3.0,599
20,68.20683747378084,0.30000366189462147,-68.20683747378084,9.968253863485015e-09,1.0,3.0,597
21,62.663757050499754,0.29804260195798893,-62.663757050499754,8.958241673014476e-09,2.0,3.0,608
22,61.937118154128605,0.30000146082291335,-61.9371181541286,9.364750854130585e-09,2.0,3.0,606
23,61.824006062377116,0.3000006961893529,-61.824006062377116,8.798798893893045e-09,2.0,3.0,606
24,61.73091466003208,0.30000036332680247,-61.73091466003208,8.267321764387063e-09,2.0,3.0,606
25,61.65557248228394,0.2999983745170852,-61.65557248228394,8.156854117159014e-09,2.0,3.0,606
26,71.38507328108261,0.2999997854191763,-71.38507328108263,9.793903004846647e-09,2.0,4.0,617
27,71.24908138517324,0.30000081535707723,-71.24908138517326,9.120250483083541e-09,2.0,4.0,624
28,71.14533610084823,0.2999990920725494,-71.14533610084823,8.764659542822465e-09,2.0,4.0,627
29,71.05471557425588,0.300000538930947,-71.05471557425588,9.346870568831129e-09,2.0,4.0,628
30,70.97838085641611,0.299999534703324,-70.97838085641611,9.311728043961667e-09,2.0,4.0,630
31,70.91493829146867,0.3000007919991863,-70.91493829146869,9.782358519847401e-09,2.0,4.0,630
32,70.85947935952433,0.2999989205909884,-70.85947935952433,9.92805582468844e-09,2.0,4.0,629
33,70.80949644196306,0.2999992673033012,-70.80949644196306,9.278745621018095e-09,2.0,4.0,625
34,70.7630475048875,0.30000112338843227,-70.7630475048875,9.729547207964052e-09,2.0,4.0,621
35,70.72159180793874,0.29999999360945506,-70.72159180793874,9.96696043786085e-09,2.0,4.0,621
36,70.68344120000103,0.29999968775967395,-70.68344120000103,8.8597240611988e-09,2.0,4.0,623
37,70.648581528851,0.2999990729969322,-70.648581528851,9.248313843715218e-09,2.0,4.0,625
38,70.61540963289151,0.30000028348044516,-70.6154096328915,9.632812445926905e-09,2.0,4.0,625
39,70.58650539799724,0.29999888443561995,-70.58650539799724,9.494087666501758e-09,2.0,4.0,625
40,70.55865944545165,0.29999993008392534,-70.55865944545164,9.785206854044068e-09,2.0,4.0,624
41,54.76546433746245,0.29840396856910073,-54.76546433746244,8.858246809960039e-09,4.0,4.0,629
42,54.38326147792782,0.30000011564459844,-54.38326147792781,9.121250299844301e-09,4.0,4.0,629
43,54.36313570003666,0.30000028019250347,-54.36313570003665,9.749789251076266e-09,4.0,4.0,629
44,54.344915946800846,0.29999973201120195,-54.344915946800846,9.505413230794216e-09,4.0,4.0,630
45,54.33060813925081,0.29999977110110676,-54.33060813925081,9.362532216103463e-09,4.0,4.0,630
46,54.31921606396179,0.2999999321937772,-54.31921606396179,9.905129085225335e-09,4.0,4.0,630
47,54.30937130698731,0.2999996061054539,-54.30937130698731,8.410995574336904e-09,4.0,4.0,631
