iter,compliance,volume,tip_dy,pcg_res,beta,penal,pcg_iters
1,819.257253964513,0.3921615513954202,-819.257253964513,9.823855618305837e-09,1.0,3.0,350
2,434.4568153216766,0.39999412712492954,-434.4568153216766,9.48680373997094e-09,1.0,3.0,391
3,291.46003815409864,0.39997710112193935,-291.46003815409864,9.006427329122264e-09,1.0,3.0,399
4,214.78976425750258,0.40001055567453575,-214.78976425750258,9.289139024713223e-09,1.0,3.0,435
5,178.4231082096283,0.3999847898346238,-178.4231082096283,7.284672860676662e-09,1.0,3.0,462
6,158.0196528432257,0.3999936358900075,-158.0196528432257,7.483440880153166e-09,1.0,3.0,481
7,144.94851014447633,0.4000014796557364,-144.94851014447633,9.305498054133908e-09,1.0,3.0,499
8,135.22862591984654,0.4000027899154134,-135.22862591984654,8.175863371018636e-09,1.0,3.0,512
9,127.89042263628096,0.399994706856603,-127.89042263628096,8.989279312163765e-09,1.0,3.0,528
10,122.43054868875359,0.40000519132134765,-122.43054868875359,6.526755787814763e-09,1.0,3.0,543
11,118.49711075774637,0.40000242356875615,-118.49711075774637,7.659707337650503e-09,1.0,3.0,555
12,115.57712385490787,0.4000025521866196,-115.57712385490787,6.821479866884691e-09,1.0,3.0,559
13,113.61545671648534,0.4000062540419807,-113.61545671648534,8.47443660925755e-09,1.0,3.0,559
14,112.10830423951488,0.39999710612676326,-112.10830423951488,7.572534816855972e-09,1.0,3.0,563
15,110.93175527014095,0.3999985872973778,-110.93175527014095,8.09666704247412e-09,1.0,3.0,563
16,109.9015537726166,0.39999804901342195,-109.9015537726166,6.87105684807548e-09,1.0,3.0,562
17,109.12102605679014,0.39999871603011583,-109.12102605679014,9.292455153594765e-09,1.0,3.0,561
18,108.61178992484864,0.39999871747364907,-108.61178992484864,7.868961832150666e-09,1.0,3.0,562
19,108.23737131372029,0.3999966229536289,-108.23737131372029,8.850012793939414e-09,1.0,3.0,562
20,107.92805189535447,0.40000284654275986,-107.92805189535447,7.799802902962379e-09,1.0,3.0,563
21,104.21879634558815,0.4010545701107169,-104.21879634558815,9.798217983075621e-09,2.0,3.0,566
22,104.26667754700577,0.39999926809365904,-104.26667754700577,8.442305528011817e-09,2.0,3.0,568
23,104.07557365396802,0.4000013902901382,-104.07557365396802,9.07903566382197e-09,2.0,3.0,569
24,103.90828130194352,0.3999980266940414,-103.90828130194352,9.689458017384607e-09,2.0,3.0,569
25,103.75607485475844,0.3999993501817133,-103.75607485475844,8.719427114802724e-09,2.0,3.0,570
26,109.03339235060764,0.40000136734613506,-109.03339235060764,7.743408506345036e-09,2.0,4.0,585
27,108.84237311926812,0.3999991579610698,-108.84237311926812,8.45319482683898e-09,2.0,4.0,585
28,108.68092135937593,0.3999995562057067,-108.68092135937593,8.161223024011607e-09,2.0,4.0,588
29,108.52834154828004,0.40000023499347204,-108.52834154828004,6.971380537382778e-09,2.0,4.0,589
30,108.38484789798888,0.3999996921010679,-108.38484789798888,8.051495549480696e-09,2.0,4.0,589
31,108.24569544228638,0.39999996429414814,-108.24569544228638,6.889685127609597e-09,2.0,4.0,590
32,108.11428375787615,0.40000005472908423,-108.11428375787615,8.694111292162934e-09,2.0,4.0,590
33,107.99878986095237,0.3999989680265729,-107.99878986095237,9.422519657456197e-09,2.0,4.0,590
34,107.8913123101891,0.3999995945708458,-107.8913123101891,7.546650679835566e-09,2.0,4.0,591
35,107.79136235059138,0.40000140762697517,-107.79136235059138,7.286381591929356e-09,2.0,4.0,591
36,107.6963902308773,0.3999999722572454,-107.6963902308773,8.201284027743101e-09,2.0,4.0,591
37,107.60458847868118,0.40000232838371463,-107.60458847868118,9.25087643648152e-09,2.0,4.0,591
38,107.5143359682981,0.4000007554407977,-107.5143359682981,9.677417501753127e-09,2.0,4.0,591
39,107.42941130383271,0.3999984742413132,-107.42941130383271,7.297168802128137e-09,2.0,4.0,593
40,107.35939392523225,0.3999979956508381,-107.35939392523225,7.77479843662371e-09,2.0,4.0,593
41,98.214885442007,0.400694559769613,-98.214885442007,7.408170796685694e-09,4.0,4.0,592
42,98.27755092095262,0.399999555759025,-98.27755092095262,7.1212701372941565e-09,4.0,4.0,597
43,98.18931153961809,0.4000007226037014,-98.18931153961809,7.880677039649917e-09,4.0,4.0,597
44,98.12889278492493,0.3999989428745698,-98.12889278492493,7.013598415272519e-09,4.0,4.0,597
45,98.08179336826387,0.4000001824396188,-98.08179336826387,8.16543819773867e-09,4.0,4.0,594
46,98.0333215553663,0.3999995459883723,-98.0333215553663,8.456870634161354e-09,4.0,4.0,593
47,97.97988731932944,0.3999991822477734,-97.97988731932944,7.456140907713889e-09,4.0,4.0,593
48,97.93104008739434,0.3999989637986441,-97.93104008739434,7.905117665918759e-09,4.0,4.0,590
49,97.89984849903107,0.40000074063376534,-97.89984849903107,8.790332495000224e-09,4.0,4.0,593
50,97.8803992347802,0.4000007644161334,-97.8803992347802,7.004790320712589e-09,4.0,4.0,594
51,97.86001700178525,0.3999996229507446,-97.86001700178525,9.914897743759274e-09,4.0,4.0,593
52,97.83386052864776,0.39999993129656175,-97.83386052864776,7.568371903538027e-09,4.0,4.0,594
53,97.79892554911008,0.39999966126997255,-97.79892554911008,9.406619435624848e-09,4.0,4.0,594
54,97.7609119285236,0.3999998543410625,-97.7609119285236,9.132813640447324e-09,4.0,4.0,595
55,97.73224648266105,0.4000007989092369,-97.73224648266105,8.328425815329894e-09,4.0,4.0,597
56,97.71830398775094,0.3999993484206763,-97.71830398775094,8.605986264610115e-09,4.0,4.0,594
57,97.69840730110087,0.39999982797797934,-97.69840730110087,8.733035657090766e-09,4.0,4.0,597
