iter,compliance,volume,tip_dy,pcg_res,beta,penal,pcg_iters
1,1007.0221007299913,0.5000000000000031,-1007.0221007299913,9.666863027030702e-09,1.0,3.0,371
2,578.0535027557298,0.4999858790676036,-578.0535027557298,9.900971622830661e-09,1.0,3.0,453
3,410.7378347672613,0.5000113757933365,-410.7378347672613,8.413214209666713e-09,1.0,3.0,481
4,346.65177714492944,0.4999915807203218,-346.65177714492944,7.85586283807229e-09,1.0,3.0,509
5,327.7677582810279,0.49999184609339364,-327.7677582810279,8.890541180996552e-09,1.0,3.0,538
6,315.033735486427,0.5000137590320473,-315.033735486427,9.00171454387534e-09,1.0,3.0,534
7,305.3355133982578,0.5000083859849812,-305.3355133982578,9.714488079384024e-09,1.0,3.0,556
8,296.0409027089657,0.4999905696084773,-296.0409027089657,8.618811940700357e-09,1.0,3.0,556
9,287.4696233642315,0.5000009993471306,-287.4696233642315,9.378736906917008e-09,1.0,3.0,570
10,279.64936655237256,0.4999916673891135,-279.64936655237256,9.614372290502826e-09,1.0,3.0,574
11,272.4601501667591,0.5000129776302878,-272.4601501667591,7.925089560878875e-09,1.0,3.0,587
12,265.12020736170797,0.4999847710811115,-265.12020736170797,7.970379374033626e-09,1.0,3.0,598
13,257.56215542702597,0.49998582596909513,-257.56215542702597,7.1753760000828e-09,1.0,3.0,614
14,250.16854476784235,0.5000184794614704,-250.16854476784235,9.565314591092553e-09,1.0,3.0,621
15,243.16336881140825,0.500017265216146,-243.16336881140825,9.441646470811489e-09,1.0,3.0,631
16,237.5353538023049,0.5000040568744002,-237.5353538023049,8.886166171175968e-09,1.0,3.0,646
17,233.74800275709927,0.5000020309689309,-233.74800275709927,6.014805348531086e-09,1.0,3.0,650
18,230.74200989543638,0.49999750391130515,-230.74200989543638,9.671526582861992e-09,1.0,3.0,652
19,228.19090251672114,0.4999944958446493,-228.19090251672114,9.671780767696094e-09,1.0,3.0,655
20,226.1283631591694,0.5000038481414757,-226.1283631591694,7.27495462671421e-09,1.0,3.0,658
21,218.58125399719995,0.5016402155109141,-218.58125399719995,7.399976721069847e-09,2.0,3.0,665
22,218.28235807043018,0.49999599641390036,-218.28235807043018,7.009928459838086e-09,2.0,3.0,674
23,217.5298355247044,0.4999941201259853,-217.5298355247044,8.955817458938954e-09,2.0,3.0,675
24,216.94972408786617,0.4999976554303302,-216.94972408786617,8.716174877223108e-09,2.0,3.0,678
25,216.50464414444096,0.5000057876572871,-216.50464414444096,6.467403093511871e-09,2.0,3.0,676
26,227.30667388033098,0.49999867728851016,-227.30667388033098,6.533565528021744e-09,2.0,4.0,707
27,226.57241334582804,0.49999987368257587,-226.57241334582804,6.82460540782826e-09,2.0,4.0,707
28,226.03911509037889,0.5000035443735265,-226.03911509037889,9.42169917856163e-09,2.0,4.0,705
29,225.6323265503908,0.49999710011152404,-225.6323265503908,7.350858429992455e-09,2.0,4.0,706
30,225.319366760543,0.4999991301390453,-225.319366760543,9.022773575339625e-09,2.0,4.0,706
31,225.07604534999183,0.49999931421938104,-225.07604534999183,7.761006606047201e-09,2.0,4.0,706
32,224.88687348785436,0.49999760704182383,-224.88687348785436,9.173462824907549e-09,2.0,4.0,705
33,224.7394409580329,0.5000024070584511,-224.7394409580329,7.2712711855028175e-09,2.0,4.0,705
34,224.62580862662864,0.5000018368349445,-224.62580862662864,6.837443092358239e-09,2.0,4.0,705
35,224.53338032655327,0.4999998732637837,-224.53338032655327,6.7200082790923004e-09,2.0,4.0,705
36,224.45154178353505,0.5000013016569884,-224.45154178353505,9.355064698008906e-09,2.0,4.0,704
37,224.38163183023957,0.4999997556672142,-224.38163183023957,9.180632867081418e-09,2.0,4.0,704
38,224.3179717164199,0.4999979913845979,-224.3179717164199,8.99657930585043e-09,2.0,4.0,704
39,224.25848893957567,0.49999764538400104,-224.25848893957567,7.744238162572636e-09,2.0,4.0,704
40,224.20333329278986,0.49999792743652627,-224.20333329278986,7.658878568212995e-09,2.0,4.0,704
41,207.97023352138388,0.5023405132627115,-207.97023352138388,6.347455913142024e-09,4.0,4.0,706
42,208.6473423041274,0.4999991401428737,-208.6473423041274,8.153187696262579e-09,4.0,4.0,709
43,208.5434330617043,0.5000001418690777,-208.5434330617043,8.129413963904886e-09,4.0,4.0,710
44,208.46557894718583,0.49999967043096905,-208.46557894718583,8.005586376922306e-09,4.0,4.0,711
45,208.39991063904824,0.4999973725171664,-208.39991063904824,9.715020618795532e-09,4.0,4.0,711
46,208.3436259562593,0.49999733605640784,-208.3436259562593,7.788885887942239e-09,4.0,4.0,712
47,208.2953787677081,0.49999907754954787,-208.2953787677081,8.851502869908836e-09,4.0,4.0,712
48,208.25351062323637,0.5000006327958589,-208.25351062323637,9.74659646358618e-09,4.0,4.0,712
49,208.21706021083602,0.49999930855415553,-208.21706021083602,7.615681280317988e-09,4.0,4.0,713
50,208.18163921320485,0.500002736761836,-208.18163921320485,9.865059658528883e-09,4.0,4.0,712
51,208.14865455846703,0.5000023012847893,-208.14865455846703,7.587993557193631e-09,4.0,4.0,713
52,208.11773533137864,0.4999971768474822,-208.11773533137864,9.115365166577651e-09,4.0,4.0,711
53,208.08560648013247,0.49999847867897923,-208.08560648013247,8.036738220099435e-09,4.0,4.0,713
54,208.05522157014423,0.5000012553895737,-208.05522157014423,8.69407404202436e-09,4.0,4.0,713
55,208.03021448709436,0.4999974197736472,-208.03021448709436,8.091798287309502e-09,4.0,4.0,713
56,208.00589556924083,0.500000090402928,-208.00589556924083,8.614158460754356e-09,4.0,4.0,713
57,207.98551314826156,0.4999974028219658,-207.98551314826156,8.608563936223931e-09,4.0,4.0,713
58,207.96417162829633,0.5000011447842821,-207.96417162829633,8.991245447987301e-09,4.0,4.0,713
59,207.9449694243657,0.4999999520591012,-207.9449694243657,9.308145814513086e-09,4.0,4.0,713
60,207.92490646191217,0.5000005837678857,-207.92490646191217,8.535277479223257e-09,4.0,4.0,713
61,195.5602009044498,0.5008338763332358,-195.5602009044498,7.412331806738193e-09,8.0,4.0,712
62,195.63370850249478,0.5000014870280194,-195.63370850249478,6.814360926184288e-09,8.0,4.0,721
63,195.57457056220903,0.5000015782992506,-195.57457056220903,7.849947826223944e-09,8.0,4.0,713
64,195.6220901887796,0.5000005013784845,-195.6220901887796,9.493369740272686e-09,8.0,4.0,721
65,195.51125924212857,0.5000013562259711,-195.51125924212857,8.72238798804819e-09,8.0,4.0,714
66,195.5141143226551,0.5000014453979601,-195.5141143226551,9.767617934287274e-09,8.0,4.0,719
67,195.44148501071055,0.5000002584474086,-195.44148501071055,9.452003440090644e-09,8.0,4.0,711
68,195.42437959827748,0.49999895582277126,-195.42437959827748,9.734004592067551e-09,8.0,4.0,711
69,195.3960232456564,0.5000015681784927,-195.3960232456564,9.054039464782424e-09,8.0,4.0,712
70,195.39881846745763,0.4999991762397501,-195.39881846745763,8.432305379244333e-09,8.0,4.0,711
71,195.3782956041591,0.4999997545019401,-195.3782956041591,8.194320354411631e-09,8.0,4.0,713
72,195.37899183434016,0.5000004115078318,-195.37899183434016,7.423204312446154e-09,8.0,4.0,713
73,195.3513650687123,0.5000005094730772,-195.3513650687123,9.44272060080154e-09,8.0,4.0,713
74,195.323251603106,0.5000001690638679,-195.323251603106,8.767128095935873e-09,8.0,4.0,714
75,195.27075982780391,0.4999996616577965,-195.27075982780391,9.732853104187737e-09,8.0,4.0,714
76,195.24189154723314,0.5000005912589408,-195.24189154723314,8.523754496359421e-09,8.0,4.0,714
77,195.22751924439876,0.5000006359682467,-195.22751924439876,8.026058408247281e-09,8.0,4.0,714
78,195.2241745491434,0.4999995934906733,-195.2241745491434,7.951611534734087e-09,8.0,4.0,714
79,195.21831781602387,0.4999995020246646,-195.21831781602387,8.047246450631734e-09,8.0,4.0,714
80,195.2175787338674,0.5000007008614428,-195.2175787338674,8.415449844844532e-09,8.0,4.0,714
81,195.21354377346893,0.49999995276132636,-195.21354377346893,8.605396709033667e-09,8.0,4.0,714
82,195.2140359501784,0.4999996716533119,-195.2140359501784,9.24615986437587e-09,8.0,4.0,714
83,195.21075463217755,0.5000001741324547,-195.21075463217755,8.943191223553133e-09,8.0,4.0,714
84,195.2116277719284,0.5000001521351108,-195.2116277719284,9.14307405599256e-09,8.0,4.0,714
85,195.20917368307528,0.500000366781817,-195.20917368307528,8.577203211931248e-09,8.0,4.0,714
86,195.21048789729028,0.4999993564335102,-195.21048789729028,8.985597957235427e-09,8.0,4.0,714
87,195.20844416074698,0.4999999768692678,-195.20844416074698,9.42390299533507e-09,8.0,4.0,714
88,195.20987374022172,0.5000004573830912,-195.20987374022172,8.663271879069887e-09,8.0,4.0,714
89,195.20786359764182,0.5000004040005642,-195.20786359764182,9.166903991634449e-09,8.0,4.0,714
90,195.2099711389528,0.49999965002872765,-195.2099711389528,8.89198126423818e-09,8.0,4.0,714
91,195.20737324659743,0.49999966944319363,-195.20737324659743,8.887513908001596e-09,8.0,4.0,714
92,195.2092056051358,0.49999989696746516,-195.2092056051358,8.796712407102812e-09,8.0,4.0,714
93,195.2068075581705,0.5000002327275039,-195.2068075581705,8.624425260454025e-09,8.0,4.0,714
94,195.2085814859003,0.5000000583178161,-195.2085814859003,9.190237181571018e-09,8.0,4.0,714
95,195.20647165633707,0.5000000068495165,-195.20647165633707,9.426506041270941e-09,8.0,4.0,714
96,195.2080396941843,0.500000239832397,-195.2080396941843,9.114964270609204e-09,8.0,4.0,714
97,195.2060912101329,0.5000003403388062,-195.2060912101329,9.231885318336483e-09,8.0,4.0,714
98,195.20778027304044,0.49999935615428187,-195.20778027304044,9.675233880304946e-09,8.0,4.0,714
99,195.20584103380773,0.5000004280855941,-195.20584103380773,9.066916875125388e-09,8.0,4.0,714
100,195.20728292123562,0.5000001782729409,-195.20728292123562,9.251242464310987e-09,8.0,4.0,714
101,195.20585274626444,0.4999994270287212,-195.20585274626444,8.64577206914002e-09,8.0,4.0,714
102,195.20716195872882,0.49999939036596885,-195.20716195872882,8.968665891075572e-09,8.0,4.0,714
103,195.20555709853238,0.5000003510476317,-195.20555709853238,9.046228587703777e-09,8.0,4.0,714
104,195.20696544513783,0.4999993624531746,-195.20696544513783,9.646072603260216e-09,8.0,4.0,714
105,195.20545023190013,0.5000005119490188,-195.20545023190013,8.93930417108351e-09,8.0,4.0,714
106,195.2066881597577,0.5000000213796935,-195.2066881597577,9.37796161157349e-09,8.0,4.0,714
107,195.205600667473,0.49999944606985297,-195.205600667473,8.871856661479217e-09,8.0,4.0,714
108,195.20653486899002,0.5000001922048125,-195.20653486899002,9.115511385480934e-09,8.0,4.0,714
109,195.20545127781892,0.4999999576930486,-195.20545127781892,9.683897246617288e-09,8.0,4.0,714
110,195.2064266102324,0.5000002944220797,-195.2064266102324,9.311863344955419e-09,8.0,4.0,714
111,195.20540468091227,0.4999999960274546,-195.20540468091227,9.144119483963584e-09,8.0,4.0,714
112,195.20645107013775,0.49999981697486084,-195.20645107013775,7.44515317223058e-09,8.0,4.0,715
113,195.20547480749462,0.499999484409463,-195.20547480749462,8.918668248514802e-09,8.0,4.0,714
114,195.20631860762188,0.5000002073172568,-195.20631860762188,9.270638601149885e-09,8.0,4.0,714
115,195.2054163388649,0.4999995953157364,-195.2054163388649,9.658908430735985e-09,8.0,4.0,714
116,195.20624011080085,0.5000003260562093,-195.20624011080085,9.434105693525046e-09,8.0,4.0,714
